osm_id,ncc_owned,osm_way_id,house_area,house_peri,house_vert,private,house_lati,NATIONALCA,land_area,land_perim,land_verti,land_longi,land_latit,COUNT,house_long,b2lpercent,building_age
61738783,0,61738783,54,31,11,no,6971804.5863,29269565.0,111.0,48.0,16.0,-129086.8511,6971808.0387,3,-129085.65,49.0,
61738785,0,61738785,54,32,6,no,6972220.0504,29268237.0,134.0,47.0,11.0,-129101.2871,6972221.8787,2,-129101.99,40.0,
61738786,0,61738786,44,27,6,no,6972029.225,29270431.0,119.0,50.0,16.0,-129060.5847,6972030.7409,2,-129061.68,37.0,
61738791,0,61738791,54,32,8,no,6971914.3999,29298040.0,139.0,51.0,31.0,-128702.4289,6971920.9224,2,-128702.01,39.0,
61738795,1,61738795,84,41,12,yes,6971947.839,29295296.0,200.0,59.0,16.0,-128749.9118,6971951.1238,2,-128753.81,42.0,
61738796,1,61738796,73,37,8,yes,6971813.5601,29281546.0,165.0,52.0,15.0,-128954.3529,6971820.3851,4,-128963.53,44.0,
61738797,0,61738797,66,34,8,no,6971935.2156,29274745.0,133.0,48.0,13.0,-128987.7159,6971936.2195,1,-128987.95,50.0,
61738798,1,61738798,55,32,8,yes,6971847.2659,29281124.0,122.0,52.0,11.0,-128964.52,6971851.0069,2,-128968.12,45.0,
61738801,1,61738801,49,30,7,yes,6971830.156300001,29274675.0,124.0,46.0,15.0,-128992.1057,6971832.9974,1,-128989.32,40.0,
61738802,1,61738802,53,30,6,yes,6971659.0184,29298353.0,199.0,67.0,19.0,-128710.9143,6971661.5734,2,-128710.46,27.0,
61738809,0,61738809,39,27,5,no,6971883.5951,29311494.0,93.0,55.0,15.0,-128482.2377,6971879.1858,2,-128478.53,42.0,
61738810,0,61738810,53,30,8,no,6971834.0275,29305629.0,104.0,46.0,14.0,-128575.6805,6971832.2187,4,-128576.2,51.0,
61738815,0,61738815,40,27,6,no,6971953.7588,29312621.0,103.0,59.0,22.0,-128465.2572,6971951.7213,2,-128461.97,39.0,
61738820,0,61738820,50,30,8,no,6971851.3171,59111346.0,153.0,58.0,18.0,-128484.0669,6971856.5379,1,-128491.28,33.0,
61738820,0,61738820,50,30,8,no,6971851.3171,59111346.0,153.0,58.0,18.0,-128484.0669,6971856.5379,1,-128491.28,33.0,
103415763,0,103415763,19,19,5,no,6971855.1148,59111346.0,153.0,58.0,18.0,-128484.0669,6971856.5379,1,-128470.29,12.0,
103415763,0,103415763,19,19,5,no,6971855.1148,59111346.0,153.0,58.0,18.0,-128484.0669,6971856.5379,1,-128470.29,12.0,
61738826,0,61738826,40,27,5,no,6971911.0048,29315190.0,102.0,58.0,16.0,-128432.3588,6971910.0538,2,-128440.78,39.0,
61738827,0,61738827,46,28,4,no,6971793.5229,59711096.0,193.0,63.0,20.0,-128653.2419,6971798.5803,2,-128654.43,24.0,
61738831,1,61738831,59,33,10,yes,6972238.7639,29284074.0,146.0,55.0,17.0,-128905.1647,6972241.0856,3,-128906.85,40.0,
61738831,1,61738831,59,33,10,yes,6972238.7639,29284074.0,146.0,55.0,17.0,-128905.1647,6972241.0856,3,-128906.85,40.0,
230877324,1,230877324,24,20,5,yes,6972240.8018,29284074.0,146.0,55.0,17.0,-128905.1647,6972241.0856,1,-128897.72,16.0,
230877324,1,230877324,24,20,5,yes,6972240.8018,29284074.0,146.0,55.0,17.0,-128905.1647,6972241.0856,1,-128897.72,16.0,
61738836,1,61738836,55,31,5,yes,6972184.8543,29297525.0,173.0,56.0,11.0,-128706.4634,6972192.2548,3,-128707.06,32.0,
61738838,0,61738838,78,41,6,no,6972229.8358,29306313.0,152.0,57.0,15.0,-128565.5462,6972234.1472,2,-128566.36,51.0,
61738859,1,61738859,68,34,8,yes,6972110.3712,29288407.0,215.0,61.0,17.0,-128844.8625,6972111.3717,3,-128838.38,32.0,
61738859,1,61738859,68,34,8,yes,6972110.3712,29288407.0,215.0,61.0,17.0,-128844.8625,6972111.3717,3,-128838.38,32.0,
230877326,0,230877326,15,16,4,no,6972112.7885,29288407.0,215.0,61.0,17.0,-128844.8625,6972111.3717,1,-128853.27,7.0,
230877326,0,230877326,15,16,4,no,6972112.7885,29288407.0,215.0,61.0,17.0,-128844.8625,6972111.3717,1,-128853.27,7.0,
61738862,0,61738862,50,30,7,no,6972313.3097,29284490.0,110.0,48.0,10.0,-128900.9229,6972312.1442,2,-128898.12,45.0,
61738867,1,61738867,56,31,6,yes,6972351.6036,29274460.0,188.0,59.0,18.0,-128989.3437,6972353.5449,2,-128991.12,30.0,
61738872,1,61738872,49,29,8,yes,6972397.0351,29291426.0,100.0,44.0,15.0,-128804.1149,6972400.0305,2,-128801.15,49.0,
61738885,0,61738885,58,31,5,no,6972136.8863,29306106.0,197.0,63.0,16.0,-128575.8097,6972140.125,2,-128575.29,29.0,
61738893,0,61738893,40,25,4,no,6972111.0284,29309682.0,163.0,66.0,14.0,-128517.8437,6972099.8899,3,-128527.01,25.0,
61738894,0,61738894,75,37,8,no,6972081.9758,29301220.0,187.0,57.0,10.0,-128652.0292,6972084.3872,1,-128651.1,40.0,
61738899,1,61738899,49,29,7,yes,6972202.5514,29304094.0,208.0,67.0,18.0,-128598.7577,6972204.873,1,-128599.33,24.0,
61738910,0,61738910,38,25,4,no,6972026.6021,29313257.0,119.0,72.0,17.0,-128455.9925,6972014.2527,3,-128446.45,32.0,
61738910,0,61738910,38,25,4,no,6972026.6021,29313257.0,119.0,72.0,17.0,-128455.9925,6972014.2527,3,-128446.45,32.0,
231618492,0,231618492,39,27,4,no,6972002.9396,29313257.0,119.0,72.0,17.0,-128455.9925,6972014.2527,2,-128460.21,33.0,
231618492,0,231618492,39,27,4,no,6972002.9396,29313257.0,119.0,72.0,17.0,-128455.9925,6972014.2527,2,-128460.21,33.0,
61738915,0,61738915,49,35,6,no,6972167.4819,29311079.0,97.0,57.0,14.0,-128494.2114,6972170.1433,3,-128483.56,51.0,
61738916,0,61738916,37,26,7,no,6972211.0695,29314787.0,83.0,52.0,17.0,-128427.6883,6972221.2718,3,-128432.79,45.0,
