osm_id,ncc_owned,osm_way_id,house_area,house_peri,house_vert,private,house_lati,NATIONALCA,land_area,land_perim,land_verti,land_longi,land_latit,COUNT,house_long,b2lpercent
"61738916","0","61738916","37","26","7",no,6972211.069500000216067,29314787.0000,83.0000,52.0000,17.0000,-128427.6883,6972221.2718,"3",-128432.7900,"45"
"61738917","1","61738917","46","27","6",yes,6972378.601000000722706,29306674.0000,116.0000,54.0000,14.0000,-128564.1177,6972382.8975,"2",-128570.4600,"40"
"61738918","1","61738918","55","32","7",yes,6972298.252700000070035,,134.0000,56.0000,12.0000,-128668.2952,6972300.6451,"2",-128667.6900,"41"
"61738919","1","61738919","162","57","12",yes,6972428.271499999798834,,147.0000,58.0000,16.0000,-128679.5847,6972430.5214,"1",-128681.4800,"110"
"61738922","1","61738922","48","29","7",yes,6972363.387000000104308,29303710.0000,112.0000,49.0000,9.0000,-128607.4897,6972366.3913,"2",-128605.0400,"43"
"61738924","1","61738924","65","35","7",yes,6972435.950899999588728,,62.0000,35.0000,8.0000,-128541.6285,6972439.4237,"3",-128542.6500,"105"
"61738925","1","61738925","98","45","4",yes,6972371.246500000357628,,502.0000,89.0000,33.0000,-128489.6903,6972377.4452,"2",-128496.2900,"20"
"61738926","1","61738926","87","38","4",yes,6972254.724200000055134,,271.0000,69.0000,10.0000,-128632.2968,6972256.5766,"2",-128631.7700,"32"
"61738927","1","61738927","56","30","4",yes,6972444.867399999871850,,62.0000,35.0000,6.0000,-128651.9076,6972448.8426,"4",-128653.1100,"90"
"61738931","1","61738931","48","28","6",yes,6972288.821600000374019,29306553.0000,147.0000,59.0000,15.0000,-128565.3008,6972291.8940,"2",-128569.2700,"33"
"61738932","1","61738932","62","35","4",yes,6972365.938299999572337,,502.0000,89.0000,33.0000,-128489.6903,6972377.4452,"2",-128475.7000,"12"
"61738934","0","61738934","53","31","8",no,6971389.955000000074506,29403117.0000,127.0000,50.0000,12.0000,-127334.2561,6971393.4856,"2",-127334.4700,"42"
"61738936","0","61738936","83","39","4",no,6971302.778099999763072,29399689.0000,282.0000,78.0000,25.0000,-127391.7110,6971308.9925,"2",-127392.9100,"29"
"61738939","0","61738939","64","34","4",no,6971320.302099999971688,29396797.0000,180.0000,70.0000,29.0000,-127422.5333,6971332.0548,"2",-127420.5900,"36"
"61738941","0","61738941","65","34","4",no,6971379.414300000295043,29398693.0000,348.0000,83.0000,30.0000,-127405.1771,6971370.1363,"2",-127410.8500,"19"
"61738953","0","61738953","50","37","6",no,6971983.964900000020862,29366086.0000,77.0000,46.0000,12.0000,-127848.4061,6971978.2999,"5",-127846.0400,"65"
"61738957","1","61738957","62","33","8",yes,6971984.028699999675155,29349734.0000,238.0000,69.0000,14.0000,-128013.2350,6971979.1260,"3",-128021.4200,"26"
"61738958","0","61738958","40","32","6",no,6972129.876300000585616,29374681.0000,102.0000,60.0000,14.0000,-127724.8765,6972137.7212,"2",-127723.6100,"39"
"61738959","0","61738959","45","31","6",no,6971955.294900000095367,29379923.0000,81.0000,43.0000,12.0000,-127655.0343,6971950.9886,"2",-127651.5600,"56"
"61738961","0","61738961","50","32","8",no,6972087.704400000162423,29373019.0000,65.0000,45.0000,15.0000,-127752.6491,6972089.2477,"2",-127747.6500,"77"
"61738962","0","61738962","49","36","6",no,6971575.593299999833107,29370838.0000,164.0000,56.0000,10.0000,-127794.9319,6971576.0978,"1",-127789.8800,"30"
"61738963","0","61738963","50","39","8",no,6971830.505400000140071,29372518.0000,117.0000,59.0000,14.0000,-127769.2653,6971828.6647,"2",-127767.6800,"43"
"61738965","0","61738965","46","31","6",no,6971826.828800000250340,29383793.0000,75.0000,42.0000,14.0000,-127598.4446,6971830.6539,"2",-127603.6400,"61"
"61738966","1","61738966","46","27","7",yes,6972173.581799999810755,,120.0000,49.0000,14.0000,-127784.4628,6972170.3727,"2",-127787.8700,"38"
"61738967","0","61738967","49","37","6",no,6971710.840699999593198,29369936.0000,105.0000,50.0000,11.0000,-127806.3849,6971714.5030,"2",-127800.8200,"47"
"61738968","0","61738968","48","28","5",no,6971962.742100000381470,29336477.0000,147.0000,59.0000,16.0000,-128167.3501,6971961.5522,"2",-128170.2200,"33"
"61738970","1","61738970","53","31","4",yes,6972388.243700000457466,,173.0000,58.0000,21.0000,-127799.1240,6972397.6182,"1",-127800.4100,"31"
"61738971","0","61738971","49","36","6",no,6971992.227300000376999,29368214.0000,80.0000,48.0000,7.0000,-127829.3257,6971992.1206,"1",-127825.2400,"61"
"61738972","1","61738972","62","35","6",yes,6972370.703900000080466,,109.0000,44.0000,11.0000,-127795.6176,6972372.4812,"4",-127801.2200,"57"
"61738973","0","61738973","49","36","6",no,6971657.904099999926984,29370283.0000,81.0000,48.0000,8.0000,-127801.8427,6971655.0749,"2",-127796.6300,"60"
"61738975","0","61738975","49","37","6",no,6971793.235000000335276,29369456.0000,79.0000,48.0000,9.0000,-127812.6011,6971790.1320,"2",-127808.5700,"62"
"61738976","0","61738976","49","36","6",no,6971740.146500000730157,54070535.0000,85.0000,48.0000,7.0000,-127808.4203,6971737.6439,"2",-127803.4700,"58"
"61738978","1","61738978","46","29","7",yes,6972311.930900000967085,,156.0000,52.0000,21.0000,-127844.8843,6972312.5290,"2",-127843.4800,"29"
"61738980","0","61738980","36","26","4",no,6971989.510599999688566,29321876.0000,135.0000,63.0000,21.0000,-128403.9617,6971989.0576,"2",-128395.2600,"27"
"61738981","0","61738981","49","37","6",no,6971601.955799999646842,29370583.0000,75.0000,47.0000,6.0000,-127797.4891,6971604.3156,"1",-127792.3800,"65"
"61738982","1","61738982","71","36","8",yes,6971847.505599999800324,,292.0000,75.0000,20.0000,-128076.1260,6971847.4474,"1",-128077.6900,"24"
"61738984","0","61738984","50","37","6",no,6971736.277099999599159,29367735.0000,80.0000,47.0000,13.0000,-127827.7009,6971730.0873,"5",-127825.3000,"63"
"61738987","1","61738987","48","28","7",yes,6971696.289900000207126,29337431.0000,114.0000,49.0000,15.0000,-128153.5583,6971693.4875,"5",-128154.8300,"42"
"61738989","0","61738989","59","32","6",no,6971630.120099999941885,,,,,,,"0",-128382.3200,
"61738990","0","61738990","41","26","5",no,6971656.663499999791384,29334886.0000,119.0000,50.0000,13.0000,-128201.0573,6971657.8451,"1",-128202.6600,"34"
"61738992","1","61738992","45","27","6",yes,6971684.232300000265241,,153.0000,61.0000,17.0000,-128358.2876,6971685.0108,"3",-128357.3800,"29"
"61738994","1","61738994","54","30","5",yes,6971610.320700000040233,57952122.0000,172.0000,67.0000,18.0000,-128170.3252,6971612.4311,"2",-128170.1700,"31"
"61738995","0","61738995","50","29","4",no,6971674.979100000113249,29328124.0000,130.0000,53.0000,9.0000,-128310.3539,6971674.9801,"2",-128311.0300,"38"
"61738997","1","61738997","39","26","4",yes,6971951.633899999782443,,183.0000,64.0000,24.0000,-128132.3253,6971960.3743,"1",-128131.8800,"21"
"61738998","1","61738998","62","33","8",yes,6971926.929700000211596,,60.0000,33.0000,8.0000,-128198.1922,6971926.8290,"4",-128201.0300,"103"
"61738999","1","61738999","47","28","5",yes,6971844.923999999649823,,116.0000,50.0000,15.0000,-128151.1632,6971844.3221,"5",-128149.6000,"41"
"61739000","1","61739000","68","35","6",yes,6971874.207699999213219,,62.0000,34.0000,6.0000,-128235.9300,6971873.9764,"2",-128238.0700,"110"
"61739001","1","61739001","47","28","7",yes,6971785.899799999780953,56785603.0000,117.0000,53.0000,18.0000,-128187.1373,6971782.9972,"3",-128190.1000,"40"
"61739002","1","61739002","66","35","6",yes,6971829.670900000259280,,63.0000,34.0000,6.0000,-128218.8310,6971829.4996,"2",-128220.2400,"105"
"61739003","1","61739003","49","28","7",yes,6971741.068699999712408,29336370.0000,112.0000,49.0000,16.0000,-128170.4917,6971738.1246,"3",-128172.9200,"44"
"61739004","1","61739004","48","28","6",yes,6971928.167199999094009,57441316.0000,125.0000,53.0000,19.0000,-128131.4175,6971925.2107,"2",-128134.2000,"38"
"61739005","0","61739005","36","26","5",no,6971940.815000000409782,29323106.0000,169.0000,64.0000,23.0000,-128383.7584,6971939.5249,"2",-128379.6300,"21"
"61739033","0","61739033","45","27","4",no,6971686.288599999621511,29349116.0000,168.0000,67.0000,11.0000,-128024.9537,6971681.5858,"2",-128026.7500,"27"
"61739034","0","61739034","66","37","8",no,6971689.786799999885261,29346548.0000,190.0000,71.0000,9.0000,-128072.8428,6971692.2808,"1",-128067.4800,"35"
"61739047","0","61739047","88","38","5",no,6971637.667299999855459,29350497.0000,182.0000,67.0000,16.0000,-128005.2274,6971640.0794,"2",-128011.4400,"48"
"61739052","0","61739052","50","37","6",no,6971653.680399999953806,29368248.0000,79.0000,47.0000,12.0000,-127820.9754,6971647.5016,"5",-127818.1200,"63"
"61739057","1","61739057","54","40","6",yes,6971528.560800000093877,29368940.0000,78.0000,47.0000,13.0000,-127811.3228,6971533.1392,"6",-127808.2700,"69"
"61739060","0","61739060","54","39","7",no,6971693.740500000305474,29367976.0000,80.0000,47.0000,13.0000,-127825.0199,6971697.9685,"5",-127821.4600,"68"
"61739063","0","61739063","58","38","6",no,6971570.477699999697506,29368732.0000,73.0000,44.0000,11.0000,-127814.0920,6971566.2629,"3",-127813.9300,"79"
"61739064","0","61739064","51","38","6",no,6971610.637799999676645,29368445.0000,79.0000,47.0000,12.0000,-127818.2661,6971615.5772,"5",-127814.4600,"65"
"61739068","1","61739068","49","37","6",yes,6971857.064500000327826,29366817.0000,79.0000,47.0000,12.0000,-127838.8335,6971863.1333,"6",-127835.3100,"62"
"61739077","0","61739077","44","27","5",no,6971949.656999999657273,29345850.0000,125.0000,52.0000,11.0000,-128068.2811,6971950.1162,"2",-128070.7800,"35"
"61739085","0","61739085","50","37","6",no,6971818.824299999512732,29367171.0000,81.0000,47.0000,12.0000,-127834.5383,6971812.6706,"4",-127832.3800,"62"
"61739086","0","61739086","49","36","6",no,6971823.266699999570847,29369269.0000,82.0000,48.0000,10.0000,-127814.9336,6971820.3707,"2",-127811.4900,"60"
